Program,Method, Result
pahomqtt,ChatIoT + DeepSeek V3.2,0
rtc,ChatIoT + DeepSeek V3.2,1
thread,ChatIoT + DeepSeek V3.2,1
posixsockets,ChatIoT + DeepSeek V3.2,0
xtimer,ChatIoT + DeepSeek V3.2,1
dht11_monitor,ChatIoT + DeepSeek V3.2,0
dht11_sensor,ChatIoT + DeepSeek V3.2,1
emcute,ChatIoT + DeepSeek V3.2,1
ipc_msg,ChatIoT + DeepSeek V3.2,0
mpu6050_loop,ChatIoT + DeepSeek V3.2,0
breathing_led,ChatIoT + DeepSeek V3.2,0
fall_detection,ChatIoT + DeepSeek V3.2,0
impact_recorder,ChatIoT + DeepSeek V3.2,0
imu_mqtt,ChatIoT + DeepSeek V3.2,0
mpu6050_mqtt_loop,ChatIoT + DeepSeek V3.2,0
coap,SELF-DEBUG + DeepSeek V3.2,0
eventperiodic,SELF-DEBUG + DeepSeek V3.2,0
flash,SELF-DEBUG + DeepSeek V3.2,1
irq,SELF-DEBUG + DeepSeek V3.2,1
mbox,SELF-DEBUG + DeepSeek V3.2,0
mma,SELF-DEBUG + DeepSeek V3.2,0
mpu9x50,SELF-DEBUG + DeepSeek V3.2,1
pahomqtt,SELF-DEBUG + DeepSeek V3.2,0
rtc,SELF-DEBUG + DeepSeek V3.2,1
thread,SELF-DEBUG + DeepSeek V3.2,1
posixsockets,SELF-DEBUG + DeepSeek V3.2,0
xtimer,SELF-DEBUG + DeepSeek V3.2,1
dht11_monitor,SELF-DEBUG + DeepSeek V3.2,0
dht11_sensor,SELF-DEBUG + DeepSeek V3.2,1
emcute,SELF-DEBUG + DeepSeek V3.2,1
ipc_msg,SELF-DEBUG + DeepSeek V3.2,1
mpu6050_loop,SELF-DEBUG + DeepSeek V3.2,1
breathing_led,SELF-DEBUG + DeepSeek V3.2,1
fall_detection,SELF-DEBUG + DeepSeek V3.2,1
impact_recorder,SELF-DEBUG + DeepSeek V3.2,1
imu_mqtt,SELF-DEBUG + DeepSeek V3.2,0
mpu6050_mqtt_loop,SELF-DEBUG + DeepSeek V3.2,0
coap,IoTPilot + DeepSeek V3.2,1
eventperiodic,IoTPilot + DeepSeek V3.2,1
flash,IoTPilot + DeepSeek V3.2,1
irq,IoTPilot + DeepSeek V3.2,1
mbox,IoTPilot + DeepSeek V3.2,1
mma,IoTPilot + DeepSeek V3.2,1
mpu9x50,IoTPilot + DeepSeek V3.2,1
pahomqtt,IoTPilot + DeepSeek V3.2,1
rtc,IoTPilot + DeepSeek V3.2,1
thread,IoTPilot + DeepSeek V3.2,1
posixsockets,IoTPilot + DeepSeek V3.2,0
xtimer,IoTPilot + DeepSeek V3.2,1
dht11_monitor,IoTPilot + DeepSeek V3.2,1
dht11_sensor,IoTPilot + DeepSeek V3.2,1
emcute,IoTPilot + DeepSeek V3.2,0
ipc_msg,IoTPilot + DeepSeek V3.2,1
mpu6050_loop,IoTPilot + DeepSeek V3.2,1
breathing_led,IoTPilot + DeepSeek V3.2,1
fall_detection,IoTPilot + DeepSeek V3.2,1
impact_recorder,IoTPilot + DeepSeek V3.2,1
imu_mqtt,IoTPilot + DeepSeek V3.2,1
mpu6050_mqtt_loop,IoTPilot + DeepSeek V3.2,1
coap,ChatIoT + GPT-5.4,0
eventperiodic,ChatIoT + GPT-5.4,0
flash,ChatIoT + GPT-5.4,1
irq,ChatIoT + GPT-5.4,1
mbox,ChatIoT + GPT-5.4,0
mma,ChatIoT + GPT-5.4,0
mpu9x50,ChatIoT + GPT-5.4,1
pahomqtt,ChatIoT + GPT-5.4,1
rtc,ChatIoT + GPT-5.4,1
thread,ChatIoT + GPT-5.4,1
posixsockets,ChatIoT + GPT-5.4,0
xtimer,ChatIoT + GPT-5.4,0
dht11_monitor,ChatIoT + GPT-5.4,0
dht11_sensor,ChatIoT + GPT-5.4,0
emcute,ChatIoT + GPT-5.4,1
ipc_msg,ChatIoT + GPT-5.4,1
mpu6050_loop,ChatIoT + GPT-5.4,0
breathing_led,ChatIoT + GPT-5.4,0
fall_detection,ChatIoT + GPT-5.4,0
impact_recorder,ChatIoT + GPT-5.4,0
imu_mqtt,ChatIoT + GPT-5.4,1
mpu6050_mqtt_loop,ChatIoT + GPT-5.4,0
coap,AutoIoT + GPT-5.4,0
eventperiodic,AutoIoT + GPT-5.4,1
flash,AutoIoT + GPT-5.4,1
irq,AutoIoT + GPT-5.4,1
mbox,AutoIoT + GPT-5.4,1
mma,AutoIoT + GPT-5.4,1
mpu9x50,AutoIoT + GPT-5.4,1
pahomqtt,AutoIoT + GPT-5.4,1
rtc,AutoIoT + GPT-5.4,1
thread,AutoIoT + GPT-5.4,1
posixsockets,AutoIoT + GPT-5.4,0
xtimer,AutoIoT + GPT-5.4,1
dht11_monitor,AutoIoT + GPT-5.4,1
dht11_sensor,AutoIoT + GPT-5.4,1
emcute,AutoIoT + GPT-5.4,1
ipc_msg,AutoIoT + GPT-5.4,1
mpu6050_loop,AutoIoT + GPT-5.4,1
breathing_led,AutoIoT + GPT-5.4,1
fall_detection,AutoIoT + GPT-5.4,1
impact_recorder,AutoIoT + GPT-5.4,1
imu_mqtt,AutoIoT + GPT-5.4,1
mpu6050_mqtt_loop,AutoIoT + GPT-5.4,1
coap,Cursor + GPT-5.4,1
eventperiodic,Cursor + GPT-5.4,0
flash,Cursor + GPT-5.4,0
irq,Cursor + GPT-5.4,1
mbox,Cursor + GPT-5.4,0
mma,Cursor + GPT-5.4,1
mpu9x50,Cursor + GPT-5.4,1
pahomqtt,Cursor + GPT-5.4,0
rtc,Cursor + GPT-5.4,1
thread,Cursor + GPT-5.4,1
posixsockets,Cursor + GPT-5.4,0
xtimer,Cursor + GPT-5.4,1
dht11_monitor,Cursor + GPT-5.4,1
dht11_sensor,Cursor + GPT-5.4,1
emcute,Cursor + GPT-5.4,0
ipc_msg,Cursor + GPT-5.4,1
mpu6050_loop,Cursor + GPT-5.4,0
breathing_led,Cursor + GPT-5.4,1
fall_detection,Cursor + GPT-5.4,0
impact_recorder,Cursor + GPT-5.4,0
imu_mqtt,Cursor + GPT-5.4,0
mpu6050_mqtt_loop,Cursor + GPT-5.4,0
coap,IoTPilot+ GPT-5.4,1
eventperiodic,IoTPilot+ GPT-5.4,1
flash,IoTPilot+ GPT-5.4,1
irq,IoTPilot+ GPT-5.4,0
mbox,IoTPilot+ GPT-5.4,0
mma,IoTPilot+ GPT-5.4,0
mpu9x50,IoTPilot+ GPT-5.4,1
pahomqtt,IoTPilot+ GPT-5.4,1
rtc,IoTPilot+ GPT-5.4,1
thread,IoTPilot+ GPT-5.4,1
posixsockets,IoTPilot+ GPT-5.4,1
xtimer,IoTPilot+ GPT-5.4,1
dht11_monitor,IoTPilot+ GPT-5.4,1
dht11_sensor,IoTPilot+ GPT-5.4,1
emcute,IoTPilot+ GPT-5.4,1
ipc_msg,IoTPilot+ GPT-5.4,1
mpu6050_loop,IoTPilot+ GPT-5.4,1
breathing_led,IoTPilot+ GPT-5.4,1
fall_detection,IoTPilot+ GPT-5.4,1
impact_recorder,IoTPilot+ GPT-5.4,0
imu_mqtt,IoTPilot+ GPT-5.4,1
mpu6050_mqtt_loop,IoTPilot+ GPT-5.4,1
coap,SELF-DEBUG + GPT-5.4,1
eventperiodic,SELF-DEBUG + GPT-5.4,1
flash,SELF-DEBUG + GPT-5.4,1
irq,SELF-DEBUG + GPT-5.4,1
mbox,SELF-DEBUG + GPT-5.4,0
mma,SELF-DEBUG + GPT-5.4,1
mpu9x50,SELF-DEBUG + GPT-5.4,0
pahomqtt,SELF-DEBUG + GPT-5.4,1
rtc,SELF-DEBUG + GPT-5.4,1
thread,SELF-DEBUG + GPT-5.4,0
posixsockets,SELF-DEBUG + GPT-5.4,1
xtimer,SELF-DEBUG + GPT-5.4,1
dht11_monitor,SELF-DEBUG + GPT-5.4,1
dht11_sensor,SELF-DEBUG + GPT-5.4,1
emcute,SELF-DEBUG + GPT-5.4,1
ipc_msg,SELF-DEBUG + GPT-5.4,1
mpu6050_loop,SELF-DEBUG + GPT-5.4,1
breathing_led,SELF-DEBUG + GPT-5.4,1
fall_detection,SELF-DEBUG + GPT-5.4,1
impact_recorder,SELF-DEBUG + GPT-5.4,1
imu_mqtt,SELF-DEBUG + GPT-5.4,0
mpu6050_mqtt_loop,SELF-DEBUG + GPT-5.4,1
